tool,mode,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,n_obs,peak_memory_mb,segments_per_sec,efficiency_score
cityseer,drive,seg_dist20000_plain_ll,0.0019126989269182,-0.043734413531203,0.0336228159158966,64.91,181,181.0,849.2,977.4,0.0003589458275652899
cityseer,drive,seg_dist20000_dimimp_ll,0.002211852065985,-0.0470303313403706,0.024960093902655,56.45,181,181.0,849.4,1123.9,0.0004291477706986602
cityseer_od,drive,od_plain_centroid_tol0.0_r20000,0.0728108127390483,0.2698347878592532,0.2375490000280312,0.05,187,187.0,768.9,1276922.8,1.1904676778185048
cityseer_od,drive,od_plain_centroid_tol0.03_r20000,0.074003370368373,0.2720356049644475,0.2433050578259387,0.06,187,187.0,771.4,1071710.3,1.0126441072097274
cityseer_od,drive,od_plain_centroid_tol0.05_r20000,0.0741586883420357,0.2723209289460431,0.2428252737513701,0.06,187,187.0,772.7,1010136.4,1.014512871500855
cityseer_od,drive,od_plain_k3_tol0.0_r20000,0.0245088228244741,0.1565529393670849,0.1845635484283319,0.09,187,187.0,773.1,707161.5,0.22668679715013132
cityseer_od,drive,od_plain_k3_tol0.03_r20000,0.0238365918895833,0.1543910356516315,0.188274975015543,0.14,187,187.0,773.9,442097.3,0.14498076870481075
cityseer_od,drive,od_plain_k3_tol0.05_r20000,0.0242922193195235,0.1558596141388896,0.1874821628509977,0.15,187,187.0,774.2,411309.6,0.1385109848244125
cityseer_od,drive,od_plain_k5_tol0.0_r20000,0.023419563433589,0.153034517131231,0.191798283355272,0.15,187,187.0,774.8,414977.3,0.13351969063927824
cityseer_od,drive,od_plain_k5_tol0.03_r20000,0.0237095110166545,0.1539789304309345,0.1969436250785462,0.22,187,187.0,774.9,291459.1,0.09500405970336882
cityseer_od,drive,od_plain_k5_tol0.05_r20000,0.0241317227976045,0.1553438856138359,0.1967250651409879,0.23,187,187.0,775.0,270904.3,0.09288099983187202
cityseer_od,drive,od_plain_k10_tol0.0_r20000,0.0367437367060413,0.1916865584907855,0.2281975644596911,0.27,187,187.0,775.9,234098.0,0.1224666085000237
cityseer_od,drive,od_plain_k10_tol0.03_r20000,0.0376069551858105,0.1939251277834064,0.2335682903919113,0.41,187,187.0,776.0,155068.8,0.08719319922939811
cityseer_od,drive,od_plain_k10_tol0.05_r20000,0.0380148457640583,0.1949739617591495,0.2326118220238761,0.43,187,187.0,776.0,148282.4,0.084668117478467
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.0_r20000,0.1719072617671477,0.4146170061239019,0.4573862828322836,0.05,187,187.0,775.0,1156731.9,2.8073759139026695
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r20000,0.1725918206816682,0.4154417175509318,0.4564848291749214,0.06,187,187.0,775.0,1048555.3,2.3600540881524705
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.05_r20000,0.1648762412554867,0.4060495551721326,0.4525253081617524,0.07,187,187.0,775.0,970449.6,1.9416609045494138
cityseer_od,drive,od_dimensionless_imp_k3_tol0.0_r20000,0.0708172331766648,0.2661150750646509,0.3848034619810898,0.13,187,187.0,775.0,500543.1,0.4616828196671416
cityseer_od,drive,od_dimensionless_imp_k3_tol0.03_r20000,0.071976516395207,0.268284394617367,0.381922757458117,0.21,187,187.0,775.0,304376.7,0.3008570307983572
cityseer_od,drive,od_dimensionless_imp_k3_tol0.05_r20000,0.0728741109528428,0.2699520530628408,0.3842895323212539,0.17,187,187.0,775.0,378564.8,0.36982977518688537
cityseer_od,drive,od_dimensionless_imp_k5_tol0.0_r20000,0.0878485673078585,0.2963925898329081,0.4131964228771552,0.16,187,187.0,775.2,389049.3,0.47158941469169346
cityseer_od,drive,od_dimensionless_imp_k5_tol0.03_r20000,0.0889342991777571,0.2982185426457536,0.4070073462882602,0.25,187,187.0,775.2,250010.8,0.3175460785895013
cityseer_od,drive,od_dimensionless_imp_k5_tol0.05_r20000,0.0896008317265463,0.2993339802403767,0.4084519161257677,0.24,187,187.0,775.3,266056.7,0.33186546092669955
cityseer_od,drive,od_dimensionless_imp_k10_tol0.0_r20000,0.105224023143378,0.3243825259525828,0.4473277042850977,0.28,187,187.0,776.1,230115.4,0.33955507456592116
cityseer_od,drive,od_dimensionless_imp_k10_tol0.03_r20000,0.1059882470154917,0.3255583619191676,0.4439712496435708,0.42,187,187.0,776.1,149814.6,0.240780626266424
cityseer_od,drive,od_dimensionless_imp_k10_tol0.05_r20000,0.1068756092421863,0.3269183525625111,0.4424430378473393,0.45,187,187.0,776.2,141519.3,0.22913069921714274
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r3000,0.121061041922756,0.3479382731502184,0.3673962442117374,0.03,187,187.0,775.1,2168927.7,3.2632308019748595
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r5000,0.1802954815060757,0.4246121542137904,0.4498729175306158,0.04,187,187.0,775.1,1585934.7,3.6626850244102225
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r8000,0.1716617014962169,0.4143207712584742,0.454469760619153,0.06,187,187.0,775.1,1078101.7,2.347290002426002
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r12000,0.1725918206816682,0.4154417175509318,0.4564848291749214,0.06,187,187.0,775.1,1049957.9,2.3600083865853403
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r30000,0.1725918206816682,0.4154417175509318,0.4564848291749214,0.06,187,187.0,775.1,1014360.5,2.3600083865853403
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r40000,0.1725918206816682,0.4154417175509318,0.4564848291749214,0.06,187,187.0,775.1,1065483.7,2.3600083865853403
madina_worldpop,drive,wp_r800_beta002_all,0.0147877776339901,-0.1216050066156412,-0.2421130652507481,35.04,185,185.0,621.3,902.9,0.0033997576749699734
madina_worldpop,drive,wp_r1200_beta002_all,0.0180704004326552,-0.1344261895340907,-0.2368558115442468,35.5,185,185.0,621.2,891.3,0.004139899565855651
madina_worldpop,drive,wp_r1600_beta002_all,0.0167948469042511,-0.1295949339451629,-0.2516636527600643,35.85,185,185.0,621.2,882.8,0.0038374917782633667
madina_worldpop,drive,wp_r2000_beta002_all,0.0155786740831102,-0.1248145587786546,-0.2525586738807779,38.1,185,185.0,621.0,830.6,0.0035022358843064755
madina_worldpop,drive,wp_r1200_beta001_all,0.0215540158675374,-0.1468128600209719,-0.2363253351282719,36.18,185,185.0,621.2,874.7,0.0049127815098538065
madina_worldpop,drive,wp_r1600_beta001_all,0.016985074972582,-0.1303268006688647,-0.2439102117926307,36.77,185,185.0,620.5,860.5,0.0038552786603159887
madina_worldpop,drive,wp_r2000_beta002_closest,0.0067438347725239,-0.0821208546748265,-0.1673519165982652,36.76,185,185.0,622.2,860.9,0.001530179924039794
madina_worldpop,drive,wp_r1200_beta002_nodecay,0.0213450846604857,-0.1460995710482605,-0.2302553873613073,36.7,185,185.0,621.3,862.3,0.004846422171575816
madina_worldpop,drive,wp_r3000_beta002_all,,,,75.18,197,197.0,,,0.0
flownet,drive,aon_ll,0.0461458195979384,0.2148157806073343,0.1908526690874915,5.58,187,187.0,408.0,11465.5,0.021593944456336923
flownet,drive,aon_imp_ll,0.0600527215610231,0.2450565680838266,0.2095179322640038,5.53,187,187.0,403.8,11564.5,0.028264431670512163
flownet,drive,psl_beta0.001_detour1.25_ll,0.0499249416563248,0.2234388991566259,0.1298745053722435,189.19,187,187.0,399.3,338.0,0.008417164834637603
flownet,drive,psl_beta0.001_detour1.5_ll,0.0499249885807016,0.223439004161542,0.1299641610577694,87.78,187,187.0,406.3,728.4,0.009818214216762936
flownet,drive,psl_beta0.004_detour1.5_ll,0.0499343701297486,0.2234599967102583,0.1299641610577694,53.72,187,187.0,394.7,1190.2,0.011060637039111417
flownet,drive,psl_imp_beta0.001_detour1.5_ll,0.0576416842388253,0.2400868264583156,0.1581008405237796,53.22,187,187.0,402.5,1201.4,0.012755552753635211
flownet,drive,psl_imp_km_beta0.01_detour1.5_ll,0.0453117543497593,0.2128655781232827,0.1603931605238244,61.78,187,187.0,398.5,1034.9,0.009688080100927378
flownet,drive,psl_imp_km_beta0.05_detour2.0_ll,0.0426228016571568,0.2064529042110011,0.1574282154432512,144.27,187,187.0,400.0,443.2,0.007572734109469593
flownet,drive,psl_km_beta0.01_detour1.5_ll,0.0278349706391436,0.1668381570239363,0.1188110809717271,63.52,187,187.0,400.0,1006.7,0.00590863659357412
sdna,drive,MAD_angular_200m,0.0233080196918583,-0.1526696423388039,-0.0058562681753876,88.51,187,,400.0,722.4,0.004587286719104983
sdna,drive,NQPDA_angular_200m,0.0172746322978868,-0.1314329954687436,-0.0388356285989901,88.51,187,,400.0,722.4,0.0033998465920808646
sdna,drive,MAD_angular_400m,0.0141499004473511,-0.1189533540819726,-0.0012690722166344,88.51,187,,400.0,722.4,0.0027848633756502655
sdna,drive,NQPDA_angular_400m,0.0159754445709021,-0.1263940052807177,-0.0159088250323872,88.51,187,,400.0,722.4,0.003144151484370667
sdna,drive,MAD_angular_800m,0.0020706938512263,-0.0455048772246042,0.0707551347852732,88.51,187,,400.0,722.4,0.0004075363985718957
sdna,drive,NQPDA_angular_800m,0.0057907482761579,-0.0760969662743393,0.062724100772269,88.51,187,,400.0,722.4,0.0011396859541086706
sdna,drive,MED_euclidean_200m,0.112258342625664,0.3350497614171127,0.2531719323843446,93.23,187,,400.0,685.9,0.021843971495285313
sdna,drive,NQPDE_euclidean_200m,0.0117455167378407,-0.1083767352241281,-0.0962037744333182,93.23,187,,400.0,685.9,0.00228552040603647
sdna,drive,BtE_euclidean_200m,0.0160468033463465,-0.126675977779319,-0.0677469343845775,93.23,187,,400.0,685.9,0.00312249323025286
sdna,drive,MCF_euclidean_200m,0.1233105102540738,0.3511559628627625,0.2289351804063802,93.23,187,,400.0,685.9,0.023994575441409365
sdna,drive,DivE_euclidean_200m,,,-0.2845772537069984,93.23,187,,400.0,685.9,0.0
sdna,drive,MED_euclidean_400m,0.0735370368347914,0.2711771318433607,0.227477158187368,93.23,187,,400.0,685.9,0.014309323466705938
sdna,drive,NQPDE_euclidean_400m,0.0146691795220204,-0.1211163883296575,-0.0639465238924935,93.23,187,,400.0,685.9,0.0028544260661922567
sdna,drive,BtE_euclidean_400m,0.0109242733672518,-0.1045192487882104,-0.0746192440464438,93.23,187,,400.0,685.9,0.0021257174340858155
sdna,drive,MCF_euclidean_400m,0.099279726066635,0.3150868547982207,0.2124638419208633,93.23,187,,400.0,685.9,0.01931850636251527
sdna,drive,DivE_euclidean_400m,,,-0.3167149466680263,93.23,187,,400.0,685.9,0.0
sdna,drive,MED_euclidean_800m,0.0180488384994384,0.1343459656984104,0.1790504504134211,93.23,187,,400.0,685.9,0.0035120624844732656
sdna,drive,NQPDE_euclidean_800m,0.0122454360242088,-0.1106590982441517,-0.0115357176446948,93.23,187,,400.0,685.9,0.0023827980104082244
sdna,drive,BtE_euclidean_800m,0.0073202356818111,-0.0855583758717471,-0.0315536298380023,93.23,187,,400.0,685.9,0.0014244199213368379
sdna,drive,MCF_euclidean_800m,0.0253412630499052,0.159189393647646,0.1907228863152795,93.23,187,,400.0,685.9,0.004931070731754284
sdna,drive,DivE_euclidean_800m,,,-0.2604900012019003,93.23,187,,400.0,685.9,0.0
aequilibrae,drive,aon,0.0827065514511188,0.2875874674792328,0.2849912356993454,0.21,187,187.0,375.7,311252.1,0.387829818218546
aequilibrae,drive,ue_bfw,0.0964006013285134,0.3104844622980568,0.3341205947694833,1.42,187,187.0,436.3,45088.3,0.09510979575961909
aequilibrae,drive,ue_fw,0.0916199670814718,0.3026879037580984,0.3231549356247283,0.94,187,187.0,436.5,67811.1,0.12054020852945195
aequilibrae,drive,ue_msa,0.0894192573614257,0.2990305291461487,0.3324040996096255,0.88,187,187.0,443.7,72900.4,0.12316899102889828
aequilibrae,drive,ue_bfw_tight,0.0868140559496382,0.2946422507883726,0.3244998968317558,4.14,187,187.0,443.7,15461.3,0.04611200264826879
aequilibrae,drive,ue_bfw_a05,0.0885750876460697,0.2976156710357669,0.3364741683022628,1.5,187,187.0,478.9,42718.4,0.08301809288733825
aequilibrae,drive,ue_bfw_iter100,0.0850849253077181,0.2916932040821624,0.3217603720053349,6.76,187,187.0,479.4,9456.6,0.03565624572263465
aequilibrae,drive,ue_bfw_cap05,0.0663099878884525,0.2575072579335436,0.3028217278918739,2.81,187,187.0,518.5,22782.0,0.042033486146685166
aequilibrae,drive,ue_bfw_cap2,0.0936746231503799,0.306063103216281,0.3193305576944182,2.72,187,187.0,518.5,23538.8,0.060460276590748964
aequilibrae,drive,ue_bfw_bpr_a0.15_b1,0.0796612044649643,0.2822431654884921,0.2809772525239487,1.91,187,187.0,517.2,33554.4,0.0632615208294014
aequilibrae,drive,ue_bfw_bpr_a0.3_b2,0.0818270645260063,0.2860543034565401,0.3075386348902124,2.84,187,187.0,517.2,22528.4,0.05158797090168551
aequilibrae,drive,ue_bfw_bpr_a0.1_b6,0.0925690574863588,0.3042516351416353,0.3261786068981572,3.05,187,187.0,517.2,20987.4,0.05613869111679732
aequilibrae,drive,ue_bfw_d10,0.091218881567542,0.3020246373518921,0.2801823986728374,1.21,187,187.0,517.2,52668.8,0.0975757531256005
aequilibrae,drive,route_choice_lp,0.0862849878002874,0.2937430642590347,0.2996695021173867,2.52,187,187.0,582.4,25353.7,0.057077411465966975
aequilibrae,drive,route_choice_lp10,0.0883302497691982,0.2972040540928038,0.2996308116151438,5.25,187,187.0,628.3,12171.8,0.03965345508639027
